Message stats for scenario Cambridge
sim_time: 86000.0000
3.0 Cambridge
1.0 Cambridge
543.0 Cambridge
144.0 Cambridge
309.0 Cambridge
3606.0 Cambridge
1919.0 Cambridge
1253.0 Cambridge
2474.0 Cambridge
4294.0 Cambridge
2707.0 Cambridge
1212.0 Cambridge
2006.0 Cambridge
2234.0 Cambridge
363.0 Cambridge
464.0 Cambridge
3270.0 Cambridge
89.0 Cambridge
11.0 Cambridge
16.0 Cambridge
1773.0 Cambridge
4605.0 Cambridge
7.0 Cambridge
5011.0 Cambridge
261.0 Cambridge
4.0 Cambridge
94.0 Cambridge
69.0 Cambridge
313.0 Cambridge
931.0 Cambridge
1.0 Cambridge
5958.0 Cambridge
7.0 Cambridge
5873.0 Cambridge
3613.0 Cambridge
3877.0 Cambridge
9177.0 Cambridge
16380.0 Cambridge
26394.0 Cambridge
39718.0 Cambridge
43814.0 Cambridge
