Message stats for scenario Cisco
sim_time: 86000.0000
1154.0 Cisco
716.0 Cisco
2079.0 Cisco
1620.0 Cisco
1937.0 Cisco
3049.0 Cisco
1691.0 Cisco
3116.0 Cisco
2822.0 Cisco
2741.0 Cisco
2305.0 Cisco
1849.0 Cisco
640.0 Cisco
2845.0 Cisco
3622.0 Cisco
3351.0 Cisco
3108.0 Cisco
2518.0 Cisco
1.0 Cisco
2687.0 Cisco
2309.0 Cisco
1711.0 Cisco
2865.0 Cisco
4126.0 Cisco
1377.0 Cisco
3878.0 Cisco
3370.0 Cisco
2992.0 Cisco
3140.0 Cisco
4297.0 Cisco
5246.0 Cisco
3876.0 Cisco
2348.0 Cisco
6064.0 Cisco
4438.0 Cisco
6943.0 Cisco
3015.0 Cisco
4087.0 Cisco
1735.0 Cisco
7890.0 Cisco
3242.0 Cisco
1465.0 Cisco
1666.0 Cisco
1179.0 Cisco
3120.0 Cisco
6735.0 Cisco
2940.0 Cisco
2348.0 Cisco
1504.0 Cisco
2700.0 Cisco
4072.0 Cisco
1915.0 Cisco
3346.0 Cisco
3329.0 Cisco
1634.0 Cisco
1746.0 Cisco
1185.0 Cisco
6126.0 Cisco
11139.0 Cisco
4815.0 Cisco
4430.0 Cisco
3619.0 Cisco
2924.0 Cisco
2034.0 Cisco
2335.0 Cisco
2664.0 Cisco
567.0 Cisco
2276.0 Cisco
6819.0 Cisco
4017.0 Cisco
5967.0 Cisco
1477.0 Cisco
5163.0 Cisco
8677.0 Cisco
2088.0 Cisco
8798.0 Cisco
9199.0 Cisco
7113.0 Cisco
6814.0 Cisco
7638.0 Cisco
11447.0 Cisco
4953.0 Cisco
1678.0 Cisco
691.0 Cisco
1627.0 Cisco
3049.0 Cisco
4687.0 Cisco
2138.0 Cisco
5957.0 Cisco
5460.0 Cisco
1729.0 Cisco
3357.0 Cisco
3169.0 Cisco
9697.0 Cisco
1561.0 Cisco
9420.0 Cisco
1159.0 Cisco
1973.0 Cisco
10361.0 Cisco
1478.0 Cisco
4759.0 Cisco
4479.0 Cisco
309.0 Cisco
6368.0 Cisco
3469.0 Cisco
1469.0 Cisco
2089.0 Cisco
3190.0 Cisco
9891.0 Cisco
4908.0 Cisco
3909.0 Cisco
1588.0 Cisco
3480.0 Cisco
1908.0 Cisco
1449.0 Cisco
1629.0 Cisco
1169.0 Cisco
3129.0 Cisco
4030.0 Cisco
8631.0 Cisco
3832.0 Cisco
10533.0 Cisco
9134.0 Cisco
11635.0 Cisco
2409.0 Cisco
5570.0 Cisco
11428.0 Cisco
2290.0 Cisco
2310.0 Cisco
2148.0 Cisco
1945.0 Cisco
2306.0 Cisco
3820.0 Cisco
3341.0 Cisco
1231.0 Cisco
970.0 Cisco
17922.0 Cisco
1981.0 Cisco
2430.0 Cisco
10001.0 Cisco
2561.0 Cisco
5541.0 Cisco
8053.0 Cisco
19236.0 Cisco
4152.0 Cisco
3300.0 Cisco
3017.0 Cisco
5913.0 Cisco
5315.0 Cisco
6786.0 Cisco
9093.0 Cisco
15597.0 Cisco
9156.0 Cisco
10330.0 Cisco
20350.0 Cisco
36410.0 Cisco
27239.0 Cisco
32940.0 Cisco
29841.0 Cisco
28242.0 Cisco
32543.0 Cisco
27645.0 Cisco
28310.0 Cisco
34530.0 Cisco
42452.0 Cisco
36692.0 Cisco
