Message stats for scenario Taxis
sim_time: 86000.0000
8854.0 Taxis
3788.0 Taxis
7904.0 Taxis
5693.0 Taxis
13039.0 Taxis
14446.0 Taxis
20176.0 Taxis
12895.0 Taxis
20238.0 Taxis
10094.0 Taxis
21147.0 Taxis
22391.0 Taxis
14806.0 Taxis
25330.0 Taxis
19139.0 Taxis
24627.0 Taxis
24416.0 Taxis
22727.0 Taxis
27109.0 Taxis
26221.0 Taxis
20078.0 Taxis
29569.0 Taxis
29594.0 Taxis
24356.0 Taxis
37219.0 Taxis
37929.0 Taxis
32899.0 Taxis
41799.0 Taxis
29238.0 Taxis
45649.0 Taxis
36200.0 Taxis
35123.0 Taxis
47981.0 Taxis
49887.0 Taxis
33341.0 Taxis
47200.0 Taxis
37933.0 Taxis
44298.0 Taxis
44183.0 Taxis
49356.0 Taxis
44181.0 Taxis
54681.0 Taxis
44863.0 Taxis
56592.0 Taxis
47362.0 Taxis
46634.0 Taxis
49845.0 Taxis
54026.0 Taxis
48930.0 Taxis
51533.0 Taxis
46494.0 Taxis
52294.0 Taxis
46568.0 Taxis
44960.0 Taxis
56820.0 Taxis
48295.0 Taxis
55694.0 Taxis
53948.0 Taxis
65048.0 Taxis
58942.0 Taxis
58842.0 Taxis
72685.0 Taxis
73451.0 Taxis
60726.0 Taxis
67328.0 Taxis
76081.0 Taxis
68588.0 Taxis
78429.0 Taxis
76012.0 Taxis
