Message stats for scenario Cambridge
sim_time: 86400.0000
276.0 Cambridge
525.0 Cambridge
2509.0 Cambridge
2838.0 Cambridge
1949.0 Cambridge
1293.0 Cambridge
2596.0 Cambridge
2704.0 Cambridge
2419.0 Cambridge
158.0 Cambridge
25.0 Cambridge
29.0 Cambridge
948.0 Cambridge
2904.0 Cambridge
1811.0 Cambridge
15.0 Cambridge
264.0 Cambridge
12.0 Cambridge
2730.0 Cambridge
4488.0 Cambridge
2929.0 Cambridge
18177.0 Cambridge
16380.0 Cambridge
39718.0 Cambridge
44783.0 Cambridge
39383.0 Cambridge
43887.0 Cambridge
