Message stats for scenario Taxis
sim_time: 86400.0000
26797.0 Taxis
43972.0 Taxis
38500.0 Taxis
48364.0 Taxis
51705.0 Taxis
48149.0 Taxis
49190.0 Taxis
54681.0 Taxis
48933.0 Taxis
53110.0 Taxis
52499.0 Taxis
50459.0 Taxis
48293.0 Taxis
62413.0 Taxis
59444.0 Taxis
56244.0 Taxis
54097.0 Taxis
55311.0 Taxis
58387.0 Taxis
61228.0 Taxis
56038.0 Taxis
60436.0 Taxis
66460.0 Taxis
58942.0 Taxis
70845.0 Taxis
70932.0 Taxis
64102.0 Taxis
70403.0 Taxis
72004.0 Taxis
64295.0 Taxis
76081.0 Taxis
66344.0 Taxis
69711.0 Taxis
73627.0 Taxis
