Message stats for scenario MixnetEpidemicRouter
sim_time: 86000.0000
51717.0 MixnetEpidemicRouter
51738.0 MixnetEpidemicRouter
43538.0 MixnetEpidemicRouter
50647.0 MixnetEpidemicRouter
50424.0 MixnetEpidemicRouter
53603.0 MixnetEpidemicRouter
38889.0 MixnetEpidemicRouter
47190.0 MixnetEpidemicRouter
37691.0 MixnetEpidemicRouter
40411.0 MixnetEpidemicRouter
40981.0 MixnetEpidemicRouter
53627.0 MixnetEpidemicRouter
42369.0 MixnetEpidemicRouter
44875.0 MixnetEpidemicRouter
49482.0 MixnetEpidemicRouter
50419.0 MixnetEpidemicRouter
44631.0 MixnetEpidemicRouter
50950.0 MixnetEpidemicRouter
43792.0 MixnetEpidemicRouter
47790.0 MixnetEpidemicRouter
43485.0 MixnetEpidemicRouter
48294.0 MixnetEpidemicRouter
48021.0 MixnetEpidemicRouter
52136.0 MixnetEpidemicRouter
45208.0 MixnetEpidemicRouter
53156.0 MixnetEpidemicRouter
45963.0 MixnetEpidemicRouter
55114.0 MixnetEpidemicRouter
49965.0 MixnetEpidemicRouter
52109.0 MixnetEpidemicRouter
52981.0 MixnetEpidemicRouter
52459.0 MixnetEpidemicRouter
45974.0 MixnetEpidemicRouter
48790.0 MixnetEpidemicRouter
42485.0 MixnetEpidemicRouter
45651.0 MixnetEpidemicRouter
47267.0 MixnetEpidemicRouter
51270.0 MixnetEpidemicRouter
49534.0 MixnetEpidemicRouter
56892.0 MixnetEpidemicRouter
49256.0 MixnetEpidemicRouter
59099.0 MixnetEpidemicRouter
44357.0 MixnetEpidemicRouter
51725.0 MixnetEpidemicRouter
52510.0 MixnetEpidemicRouter
46154.0 MixnetEpidemicRouter
60900.0 MixnetEpidemicRouter
53622.0 MixnetEpidemicRouter
60119.0 MixnetEpidemicRouter
60763.0 MixnetEpidemicRouter
45395.0 MixnetEpidemicRouter
56193.0 MixnetEpidemicRouter
56001.0 MixnetEpidemicRouter
56902.0 MixnetEpidemicRouter
51126.0 MixnetEpidemicRouter
52256.0 MixnetEpidemicRouter
44680.0 MixnetEpidemicRouter
58642.0 MixnetEpidemicRouter
46145.0 MixnetEpidemicRouter
49811.0 MixnetEpidemicRouter
52334.0 MixnetEpidemicRouter
61470.0 MixnetEpidemicRouter
55634.0 MixnetEpidemicRouter
56345.0 MixnetEpidemicRouter
59717.0 MixnetEpidemicRouter
48702.0 MixnetEpidemicRouter
52121.0 MixnetEpidemicRouter
61649.0 MixnetEpidemicRouter
49374.0 MixnetEpidemicRouter
52291.0 MixnetEpidemicRouter
48989.0 MixnetEpidemicRouter
55497.0 MixnetEpidemicRouter
57343.0 MixnetEpidemicRouter
63026.0 MixnetEpidemicRouter
63548.0 MixnetEpidemicRouter
57372.0 MixnetEpidemicRouter
62300.0 MixnetEpidemicRouter
56771.0 MixnetEpidemicRouter
63097.0 MixnetEpidemicRouter
58022.0 MixnetEpidemicRouter
54802.0 MixnetEpidemicRouter
53715.0 MixnetEpidemicRouter
50457.0 MixnetEpidemicRouter
62816.0 MixnetEpidemicRouter
53434.0 MixnetEpidemicRouter
52681.0 MixnetEpidemicRouter
65698.0 MixnetEpidemicRouter
54177.0 MixnetEpidemicRouter
52677.0 MixnetEpidemicRouter
65983.0 MixnetEpidemicRouter
56013.0 MixnetEpidemicRouter
63025.0 MixnetEpidemicRouter
65537.0 MixnetEpidemicRouter
82068.0 MixnetEpidemicRouter
