Message stats for scenario MixnetSnWRouter
sim_time: 86000.0000
51497.0 MixnetSnWRouter
50541.0 MixnetSnWRouter
40197.0 MixnetSnWRouter
53414.0 MixnetSnWRouter
47152.0 MixnetSnWRouter
37962.0 MixnetSnWRouter
37592.0 MixnetSnWRouter
44687.0 MixnetSnWRouter
53074.0 MixnetSnWRouter
39469.0 MixnetSnWRouter
44909.0 MixnetSnWRouter
49527.0 MixnetSnWRouter
46425.0 MixnetSnWRouter
50534.0 MixnetSnWRouter
44738.0 MixnetSnWRouter
42958.0 MixnetSnWRouter
52274.0 MixnetSnWRouter
41675.0 MixnetSnWRouter
43416.0 MixnetSnWRouter
47966.0 MixnetSnWRouter
45191.0 MixnetSnWRouter
50993.0 MixnetSnWRouter
48530.0 MixnetSnWRouter
52496.0 MixnetSnWRouter
53003.0 MixnetSnWRouter
48371.0 MixnetSnWRouter
56622.0 MixnetSnWRouter
52265.0 MixnetSnWRouter
40709.0 MixnetSnWRouter
55834.0 MixnetSnWRouter
47109.0 MixnetSnWRouter
53528.0 MixnetSnWRouter
47029.0 MixnetSnWRouter
47035.0 MixnetSnWRouter
46338.0 MixnetSnWRouter
52042.0 MixnetSnWRouter
49077.0 MixnetSnWRouter
54379.0 MixnetSnWRouter
49898.0 MixnetSnWRouter
49347.0 MixnetSnWRouter
59602.0 MixnetSnWRouter
55664.0 MixnetSnWRouter
48815.0 MixnetSnWRouter
44397.0 MixnetSnWRouter
55612.0 MixnetSnWRouter
51803.0 MixnetSnWRouter
56474.0 MixnetSnWRouter
58146.0 MixnetSnWRouter
52757.0 MixnetSnWRouter
51823.0 MixnetSnWRouter
60405.0 MixnetSnWRouter
45981.0 MixnetSnWRouter
49754.0 MixnetSnWRouter
59305.0 MixnetSnWRouter
45038.0 MixnetSnWRouter
48036.0 MixnetSnWRouter
61706.0 MixnetSnWRouter
46976.0 MixnetSnWRouter
51979.0 MixnetSnWRouter
55680.0 MixnetSnWRouter
49181.0 MixnetSnWRouter
55565.0 MixnetSnWRouter
52283.0 MixnetSnWRouter
62114.0 MixnetSnWRouter
57333.0 MixnetSnWRouter
55752.0 MixnetSnWRouter
62702.0 MixnetSnWRouter
59514.0 MixnetSnWRouter
65234.0 MixnetSnWRouter
56439.0 MixnetSnWRouter
59527.0 MixnetSnWRouter
63785.0 MixnetSnWRouter
53487.0 MixnetSnWRouter
58587.0 MixnetSnWRouter
67667.0 MixnetSnWRouter
53207.0 MixnetSnWRouter
60504.0 MixnetSnWRouter
62705.0 MixnetSnWRouter
52323.0 MixnetSnWRouter
55525.0 MixnetSnWRouter
59580.0 MixnetSnWRouter
53236.0 MixnetSnWRouter
64940.0 MixnetSnWRouter
68221.0 MixnetSnWRouter
53115.0 MixnetSnWRouter
66380.0 MixnetSnWRouter
65795.0 MixnetSnWRouter
54536.0 MixnetSnWRouter
55050.0 MixnetSnWRouter
66727.0 MixnetSnWRouter
62254.0 MixnetSnWRouter
65927.0 MixnetSnWRouter
74690.0 MixnetSnWRouter
63453.0 MixnetSnWRouter
81980.0 MixnetSnWRouter
81563.0 MixnetSnWRouter
79714.0 MixnetSnWRouter
