Message stats for scenario MixnetSnWRouter
sim_time: 86000.0000
41074.0 MixnetSnWRouter
51497.0 MixnetSnWRouter
50541.0 MixnetSnWRouter
43678.0 MixnetSnWRouter
53414.0 MixnetSnWRouter
47153.0 MixnetSnWRouter
39111.0 MixnetSnWRouter
42916.0 MixnetSnWRouter
43803.0 MixnetSnWRouter
41170.0 MixnetSnWRouter
44909.0 MixnetSnWRouter
49527.0 MixnetSnWRouter
41780.0 MixnetSnWRouter
46425.0 MixnetSnWRouter
40236.0 MixnetSnWRouter
50549.0 MixnetSnWRouter
41451.0 MixnetSnWRouter
44852.0 MixnetSnWRouter
43543.0 MixnetSnWRouter
52274.0 MixnetSnWRouter
54388.0 MixnetSnWRouter
47966.0 MixnetSnWRouter
55497.0 MixnetSnWRouter
50993.0 MixnetSnWRouter
40394.0 MixnetSnWRouter
44522.0 MixnetSnWRouter
48530.0 MixnetSnWRouter
53148.0 MixnetSnWRouter
40357.0 MixnetSnWRouter
48371.0 MixnetSnWRouter
52265.0 MixnetSnWRouter
53456.0 MixnetSnWRouter
55834.0 MixnetSnWRouter
47100.0 MixnetSnWRouter
43217.0 MixnetSnWRouter
46548.0 MixnetSnWRouter
52045.0 MixnetSnWRouter
54493.0 MixnetSnWRouter
49898.0 MixnetSnWRouter
59545.0 MixnetSnWRouter
55430.0 MixnetSnWRouter
46525.0 MixnetSnWRouter
55612.0 MixnetSnWRouter
51806.0 MixnetSnWRouter
47480.0 MixnetSnWRouter
56480.0 MixnetSnWRouter
58146.0 MixnetSnWRouter
52757.0 MixnetSnWRouter
60405.0 MixnetSnWRouter
60258.0 MixnetSnWRouter
44787.0 MixnetSnWRouter
59305.0 MixnetSnWRouter
49962.0 MixnetSnWRouter
61706.0 MixnetSnWRouter
46866.0 MixnetSnWRouter
52102.0 MixnetSnWRouter
55684.0 MixnetSnWRouter
62702.0 MixnetSnWRouter
65234.0 MixnetSnWRouter
56439.0 MixnetSnWRouter
59419.0 MixnetSnWRouter
60120.0 MixnetSnWRouter
51487.0 MixnetSnWRouter
55661.0 MixnetSnWRouter
63785.0 MixnetSnWRouter
58599.0 MixnetSnWRouter
51341.0 MixnetSnWRouter
57562.0 MixnetSnWRouter
67667.0 MixnetSnWRouter
62689.0 MixnetSnWRouter
60504.0 MixnetSnWRouter
51515.0 MixnetSnWRouter
58908.0 MixnetSnWRouter
59529.0 MixnetSnWRouter
63659.0 MixnetSnWRouter
53319.0 MixnetSnWRouter
54825.0 MixnetSnWRouter
68221.0 MixnetSnWRouter
65122.0 MixnetSnWRouter
61353.0 MixnetSnWRouter
52724.0 MixnetSnWRouter
56342.0 MixnetSnWRouter
66380.0 MixnetSnWRouter
65794.0 MixnetSnWRouter
55713.0 MixnetSnWRouter
66737.0 MixnetSnWRouter
58011.0 MixnetSnWRouter
74690.0 MixnetSnWRouter
64236.0 MixnetSnWRouter
73982.0 MixnetSnWRouter
81980.0 MixnetSnWRouter
81563.0 MixnetSnWRouter
79714.0 MixnetSnWRouter
