Message stats for scenario MixnetEpidemicRouter
sim_time: 86000.0000
52383.0 MixnetEpidemicRouter
49727.0 MixnetEpidemicRouter
50303.0 MixnetEpidemicRouter
40090.0 MixnetEpidemicRouter
42249.0 MixnetEpidemicRouter
49618.0 MixnetEpidemicRouter
36730.0 MixnetEpidemicRouter
36338.0 MixnetEpidemicRouter
37952.0 MixnetEpidemicRouter
44793.0 MixnetEpidemicRouter
50440.0 MixnetEpidemicRouter
47141.0 MixnetEpidemicRouter
53603.0 MixnetEpidemicRouter
46182.0 MixnetEpidemicRouter
44084.0 MixnetEpidemicRouter
53087.0 MixnetEpidemicRouter
47989.0 MixnetEpidemicRouter
38644.0 MixnetEpidemicRouter
42958.0 MixnetEpidemicRouter
43482.0 MixnetEpidemicRouter
40410.0 MixnetEpidemicRouter
46298.0 MixnetEpidemicRouter
53627.0 MixnetEpidemicRouter
47780.0 MixnetEpidemicRouter
42780.0 MixnetEpidemicRouter
47708.0 MixnetEpidemicRouter
52020.0 MixnetEpidemicRouter
42346.0 MixnetEpidemicRouter
43597.0 MixnetEpidemicRouter
40700.0 MixnetEpidemicRouter
46299.0 MixnetEpidemicRouter
53374.0 MixnetEpidemicRouter
38988.0 MixnetEpidemicRouter
45508.0 MixnetEpidemicRouter
39291.0 MixnetEpidemicRouter
46402.0 MixnetEpidemicRouter
46911.0 MixnetEpidemicRouter
52311.0 MixnetEpidemicRouter
54919.0 MixnetEpidemicRouter
47719.0 MixnetEpidemicRouter
53866.0 MixnetEpidemicRouter
54421.0 MixnetEpidemicRouter
48425.0 MixnetEpidemicRouter
43932.0 MixnetEpidemicRouter
56042.0 MixnetEpidemicRouter
46117.0 MixnetEpidemicRouter
49578.0 MixnetEpidemicRouter
47079.0 MixnetEpidemicRouter
53168.0 MixnetEpidemicRouter
42074.0 MixnetEpidemicRouter
49971.0 MixnetEpidemicRouter
49282.0 MixnetEpidemicRouter
52166.0 MixnetEpidemicRouter
57635.0 MixnetEpidemicRouter
55634.0 MixnetEpidemicRouter
56554.0 MixnetEpidemicRouter
45667.0 MixnetEpidemicRouter
52776.0 MixnetEpidemicRouter
47280.0 MixnetEpidemicRouter
51502.0 MixnetEpidemicRouter
58239.0 MixnetEpidemicRouter
56528.0 MixnetEpidemicRouter
44351.0 MixnetEpidemicRouter
48661.0 MixnetEpidemicRouter
47404.0 MixnetEpidemicRouter
56356.0 MixnetEpidemicRouter
60898.0 MixnetEpidemicRouter
53624.0 MixnetEpidemicRouter
49178.0 MixnetEpidemicRouter
47557.0 MixnetEpidemicRouter
60763.0 MixnetEpidemicRouter
58270.0 MixnetEpidemicRouter
51493.0 MixnetEpidemicRouter
56196.0 MixnetEpidemicRouter
56005.0 MixnetEpidemicRouter
46850.0 MixnetEpidemicRouter
56220.0 MixnetEpidemicRouter
51992.0 MixnetEpidemicRouter
60659.0 MixnetEpidemicRouter
55561.0 MixnetEpidemicRouter
48967.0 MixnetEpidemicRouter
55041.0 MixnetEpidemicRouter
53258.0 MixnetEpidemicRouter
52149.0 MixnetEpidemicRouter
51554.0 MixnetEpidemicRouter
46733.0 MixnetEpidemicRouter
56406.0 MixnetEpidemicRouter
58761.0 MixnetEpidemicRouter
55859.0 MixnetEpidemicRouter
59929.0 MixnetEpidemicRouter
65181.0 MixnetEpidemicRouter
51293.0 MixnetEpidemicRouter
53433.0 MixnetEpidemicRouter
55080.0 MixnetEpidemicRouter
52681.0 MixnetEpidemicRouter
54586.0 MixnetEpidemicRouter
52197.0 MixnetEpidemicRouter
65556.0 MixnetEpidemicRouter
51973.0 MixnetEpidemicRouter
59178.0 MixnetEpidemicRouter
57379.0 MixnetEpidemicRouter
79251.0 MixnetEpidemicRouter
82051.0 MixnetEpidemicRouter
