Message stats for scenario MixnetEpidemicRouter
sim_time: 86000.0000
10.0 MixnetEpidemicRouter
816.0 MixnetEpidemicRouter
1131.0 MixnetEpidemicRouter
956.0 MixnetEpidemicRouter
580.0 MixnetEpidemicRouter
2169.0 MixnetEpidemicRouter
3625.0 MixnetEpidemicRouter
5250.0 MixnetEpidemicRouter
5960.0 MixnetEpidemicRouter
6705.0 MixnetEpidemicRouter
4438.0 MixnetEpidemicRouter
9201.0 MixnetEpidemicRouter
10940.0 MixnetEpidemicRouter
8585.0 MixnetEpidemicRouter
13847.0 MixnetEpidemicRouter
14179.0 MixnetEpidemicRouter
19113.0 MixnetEpidemicRouter
24055.0 MixnetEpidemicRouter
16377.0 MixnetEpidemicRouter
17421.0 MixnetEpidemicRouter
22594.0 MixnetEpidemicRouter
29023.0 MixnetEpidemicRouter
34767.0 MixnetEpidemicRouter
37024.0 MixnetEpidemicRouter
40246.0 MixnetEpidemicRouter
39348.0 MixnetEpidemicRouter
50115.0 MixnetEpidemicRouter
41289.0 MixnetEpidemicRouter
45101.0 MixnetEpidemicRouter
43018.0 MixnetEpidemicRouter
49922.0 MixnetEpidemicRouter
51545.0 MixnetEpidemicRouter
45451.0 MixnetEpidemicRouter
49370.0 MixnetEpidemicRouter
41780.0 MixnetEpidemicRouter
36791.0 MixnetEpidemicRouter
50228.0 MixnetEpidemicRouter
41138.0 MixnetEpidemicRouter
35946.0 MixnetEpidemicRouter
48263.0 MixnetEpidemicRouter
38264.0 MixnetEpidemicRouter
43773.0 MixnetEpidemicRouter
35675.0 MixnetEpidemicRouter
45690.0 MixnetEpidemicRouter
50921.0 MixnetEpidemicRouter
36024.0 MixnetEpidemicRouter
46002.0 MixnetEpidemicRouter
39708.0 MixnetEpidemicRouter
47524.0 MixnetEpidemicRouter
36340.0 MixnetEpidemicRouter
49964.0 MixnetEpidemicRouter
43045.0 MixnetEpidemicRouter
43405.0 MixnetEpidemicRouter
36654.0 MixnetEpidemicRouter
42773.0 MixnetEpidemicRouter
39173.0 MixnetEpidemicRouter
43073.0 MixnetEpidemicRouter
42992.0 MixnetEpidemicRouter
46696.0 MixnetEpidemicRouter
40501.0 MixnetEpidemicRouter
35818.0 MixnetEpidemicRouter
37218.0 MixnetEpidemicRouter
51626.0 MixnetEpidemicRouter
40435.0 MixnetEpidemicRouter
38351.0 MixnetEpidemicRouter
39672.0 MixnetEpidemicRouter
40697.0 MixnetEpidemicRouter
39197.0 MixnetEpidemicRouter
36412.0 MixnetEpidemicRouter
51825.0 MixnetEpidemicRouter
47171.0 MixnetEpidemicRouter
44863.0 MixnetEpidemicRouter
45197.0 MixnetEpidemicRouter
44783.0 MixnetEpidemicRouter
39924.0 MixnetEpidemicRouter
44927.0 MixnetEpidemicRouter
50831.0 MixnetEpidemicRouter
53040.0 MixnetEpidemicRouter
45569.0 MixnetEpidemicRouter
41752.0 MixnetEpidemicRouter
43955.0 MixnetEpidemicRouter
40458.0 MixnetEpidemicRouter
42375.0 MixnetEpidemicRouter
38978.0 MixnetEpidemicRouter
39980.0 MixnetEpidemicRouter
41015.0 MixnetEpidemicRouter
39533.0 MixnetEpidemicRouter
46057.0 MixnetEpidemicRouter
46157.0 MixnetEpidemicRouter
47162.0 MixnetEpidemicRouter
42963.0 MixnetEpidemicRouter
38872.0 MixnetEpidemicRouter
43184.0 MixnetEpidemicRouter
42684.0 MixnetEpidemicRouter
41436.0 MixnetEpidemicRouter
52444.0 MixnetEpidemicRouter
40787.0 MixnetEpidemicRouter
38116.0 MixnetEpidemicRouter
45848.0 MixnetEpidemicRouter
42736.0 MixnetEpidemicRouter
53648.0 MixnetEpidemicRouter
49049.0 MixnetEpidemicRouter
42979.0 MixnetEpidemicRouter
42919.0 MixnetEpidemicRouter
50250.0 MixnetEpidemicRouter
40726.0 MixnetEpidemicRouter
46881.0 MixnetEpidemicRouter
55617.0 MixnetEpidemicRouter
38928.0 MixnetEpidemicRouter
49054.0 MixnetEpidemicRouter
53476.0 MixnetEpidemicRouter
43542.0 MixnetEpidemicRouter
53045.0 MixnetEpidemicRouter
49045.0 MixnetEpidemicRouter
39349.0 MixnetEpidemicRouter
52449.0 MixnetEpidemicRouter
50977.0 MixnetEpidemicRouter
52094.0 MixnetEpidemicRouter
49935.0 MixnetEpidemicRouter
47852.0 MixnetEpidemicRouter
55122.0 MixnetEpidemicRouter
47062.0 MixnetEpidemicRouter
45520.0 MixnetEpidemicRouter
55521.0 MixnetEpidemicRouter
56427.0 MixnetEpidemicRouter
44434.0 MixnetEpidemicRouter
52638.0 MixnetEpidemicRouter
52054.0 MixnetEpidemicRouter
49101.0 MixnetEpidemicRouter
54025.0 MixnetEpidemicRouter
45127.0 MixnetEpidemicRouter
54536.0 MixnetEpidemicRouter
55242.0 MixnetEpidemicRouter
46086.0 MixnetEpidemicRouter
44563.0 MixnetEpidemicRouter
60925.0 MixnetEpidemicRouter
58053.0 MixnetEpidemicRouter
55766.0 MixnetEpidemicRouter
54974.0 MixnetEpidemicRouter
55581.0 MixnetEpidemicRouter
51895.0 MixnetEpidemicRouter
53208.0 MixnetEpidemicRouter
50185.0 MixnetEpidemicRouter
49197.0 MixnetEpidemicRouter
56405.0 MixnetEpidemicRouter
47033.0 MixnetEpidemicRouter
51493.0 MixnetEpidemicRouter
62707.0 MixnetEpidemicRouter
53311.0 MixnetEpidemicRouter
52515.0 MixnetEpidemicRouter
64754.0 MixnetEpidemicRouter
81681.0 MixnetEpidemicRouter
79057.0 MixnetEpidemicRouter
