Message stats for scenario MixnetSnWRouter
sim_time: 86000.0000
44342.0 MixnetSnWRouter
53629.0 MixnetSnWRouter
54375.0 MixnetSnWRouter
44076.0 MixnetSnWRouter
42776.0 MixnetSnWRouter
47978.0 MixnetSnWRouter
56657.0 MixnetSnWRouter
51994.0 MixnetSnWRouter
59162.0 MixnetSnWRouter
57815.0 MixnetSnWRouter
49514.0 MixnetSnWRouter
54839.0 MixnetSnWRouter
50885.0 MixnetSnWRouter
51321.0 MixnetSnWRouter
64624.0 MixnetSnWRouter
53809.0 MixnetSnWRouter
64930.0 MixnetSnWRouter
57645.0 MixnetSnWRouter
68436.0 MixnetSnWRouter
58250.0 MixnetSnWRouter
62248.0 MixnetSnWRouter
53175.0 MixnetSnWRouter
52164.0 MixnetSnWRouter
60477.0 MixnetSnWRouter
61655.0 MixnetSnWRouter
57576.0 MixnetSnWRouter
63511.0 MixnetSnWRouter
67636.0 MixnetSnWRouter
63928.0 MixnetSnWRouter
76570.0 MixnetSnWRouter
73481.0 MixnetSnWRouter
80414.0 MixnetSnWRouter
74270.0 MixnetSnWRouter
