Message stats for scenario MixnetEpidemicRouter
sim_time: 140000.0000
49756.0 MixnetEpidemicRouter
52469.0 MixnetEpidemicRouter
40111.0 MixnetEpidemicRouter
50443.0 MixnetEpidemicRouter
49626.0 MixnetEpidemicRouter
28177.0 MixnetEpidemicRouter
36804.0 MixnetEpidemicRouter
38066.0 MixnetEpidemicRouter
44797.0 MixnetEpidemicRouter
50464.0 MixnetEpidemicRouter
32069.0 MixnetEpidemicRouter
47142.0 MixnetEpidemicRouter
53600.0 MixnetEpidemicRouter
44087.0 MixnetEpidemicRouter
28489.0 MixnetEpidemicRouter
53126.0 MixnetEpidemicRouter
32316.0 MixnetEpidemicRouter
26270.0 MixnetEpidemicRouter
46522.0 MixnetEpidemicRouter
43035.0 MixnetEpidemicRouter
43535.0 MixnetEpidemicRouter
32741.0 MixnetEpidemicRouter
32343.0 MixnetEpidemicRouter
30381.0 MixnetEpidemicRouter
36793.0 MixnetEpidemicRouter
36104.0 MixnetEpidemicRouter
46307.0 MixnetEpidemicRouter
48348.0 MixnetEpidemicRouter
38969.0 MixnetEpidemicRouter
42814.0 MixnetEpidemicRouter
40715.0 MixnetEpidemicRouter
34117.0 MixnetEpidemicRouter
37656.0 MixnetEpidemicRouter
30261.0 MixnetEpidemicRouter
42427.0 MixnetEpidemicRouter
47951.0 MixnetEpidemicRouter
40752.0 MixnetEpidemicRouter
30685.0 MixnetEpidemicRouter
43906.0 MixnetEpidemicRouter
46294.0 MixnetEpidemicRouter
37226.0 MixnetEpidemicRouter
43947.0 MixnetEpidemicRouter
52560.0 MixnetEpidemicRouter
35088.0 MixnetEpidemicRouter
53463.0 MixnetEpidemicRouter
36403.0 MixnetEpidemicRouter
39107.0 MixnetEpidemicRouter
29518.0 MixnetEpidemicRouter
28120.0 MixnetEpidemicRouter
45629.0 MixnetEpidemicRouter
28145.0 MixnetEpidemicRouter
46402.0 MixnetEpidemicRouter
39302.0 MixnetEpidemicRouter
55122.0 MixnetEpidemicRouter
46915.0 MixnetEpidemicRouter
47700.0 MixnetEpidemicRouter
53952.0 MixnetEpidemicRouter
48472.0 MixnetEpidemicRouter
54483.0 MixnetEpidemicRouter
44001.0 MixnetEpidemicRouter
56135.0 MixnetEpidemicRouter
49577.0 MixnetEpidemicRouter
47077.0 MixnetEpidemicRouter
38211.0 MixnetEpidemicRouter
42102.0 MixnetEpidemicRouter
37839.0 MixnetEpidemicRouter
55486.0 MixnetEpidemicRouter
38318.0 MixnetEpidemicRouter
29237.0 MixnetEpidemicRouter
46593.0 MixnetEpidemicRouter
29406.0 MixnetEpidemicRouter
49933.0 MixnetEpidemicRouter
35558.0 MixnetEpidemicRouter
50773.0 MixnetEpidemicRouter
31217.0 MixnetEpidemicRouter
49307.0 MixnetEpidemicRouter
30815.0 MixnetEpidemicRouter
30242.0 MixnetEpidemicRouter
52168.0 MixnetEpidemicRouter
53998.0 MixnetEpidemicRouter
57632.0 MixnetEpidemicRouter
45534.0 MixnetEpidemicRouter
47147.0 MixnetEpidemicRouter
59347.0 MixnetEpidemicRouter
52245.0 MixnetEpidemicRouter
45156.0 MixnetEpidemicRouter
56792.0 MixnetEpidemicRouter
57708.0 MixnetEpidemicRouter
53928.0 MixnetEpidemicRouter
33169.0 MixnetEpidemicRouter
44320.0 MixnetEpidemicRouter
56560.0 MixnetEpidemicRouter
38261.0 MixnetEpidemicRouter
40910.0 MixnetEpidemicRouter
48435.0 MixnetEpidemicRouter
42369.0 MixnetEpidemicRouter
47411.0 MixnetEpidemicRouter
56379.0 MixnetEpidemicRouter
59703.0 MixnetEpidemicRouter
49179.0 MixnetEpidemicRouter
47557.0 MixnetEpidemicRouter
60763.0 MixnetEpidemicRouter
37935.0 MixnetEpidemicRouter
43546.0 MixnetEpidemicRouter
58420.0 MixnetEpidemicRouter
57727.0 MixnetEpidemicRouter
56335.0 MixnetEpidemicRouter
41993.0 MixnetEpidemicRouter
56359.0 MixnetEpidemicRouter
38528.0 MixnetEpidemicRouter
54096.0 MixnetEpidemicRouter
48963.0 MixnetEpidemicRouter
52338.0 MixnetEpidemicRouter
52782.0 MixnetEpidemicRouter
37792.0 MixnetEpidemicRouter
37873.0 MixnetEpidemicRouter
54987.0 MixnetEpidemicRouter
53198.0 MixnetEpidemicRouter
61646.0 MixnetEpidemicRouter
42459.0 MixnetEpidemicRouter
35468.0 MixnetEpidemicRouter
57802.0 MixnetEpidemicRouter
37267.0 MixnetEpidemicRouter
37514.0 MixnetEpidemicRouter
42936.0 MixnetEpidemicRouter
44488.0 MixnetEpidemicRouter
57298.0 MixnetEpidemicRouter
56396.0 MixnetEpidemicRouter
41756.0 MixnetEpidemicRouter
43114.0 MixnetEpidemicRouter
42325.0 MixnetEpidemicRouter
39716.0 MixnetEpidemicRouter
59974.0 MixnetEpidemicRouter
65214.0 MixnetEpidemicRouter
55808.0 MixnetEpidemicRouter
57124.0 MixnetEpidemicRouter
55589.0 MixnetEpidemicRouter
40338.0 MixnetEpidemicRouter
50846.0 MixnetEpidemicRouter
44709.0 MixnetEpidemicRouter
53326.0 MixnetEpidemicRouter
51061.0 MixnetEpidemicRouter
52576.0 MixnetEpidemicRouter
55080.0 MixnetEpidemicRouter
47909.0 MixnetEpidemicRouter
42910.0 MixnetEpidemicRouter
43266.0 MixnetEpidemicRouter
48779.0 MixnetEpidemicRouter
50595.0 MixnetEpidemicRouter
41804.0 MixnetEpidemicRouter
54646.0 MixnetEpidemicRouter
48750.0 MixnetEpidemicRouter
50352.0 MixnetEpidemicRouter
51975.0 MixnetEpidemicRouter
65688.0 MixnetEpidemicRouter
52453.0 MixnetEpidemicRouter
48157.0 MixnetEpidemicRouter
46476.0 MixnetEpidemicRouter
53128.0 MixnetEpidemicRouter
46648.0 MixnetEpidemicRouter
41720.0 MixnetEpidemicRouter
49047.0 MixnetEpidemicRouter
48114.0 MixnetEpidemicRouter
50244.0 MixnetEpidemicRouter
