Message stats for scenario MixnetSnWRouter
sim_time: 140000.0000
36645.0 MixnetSnWRouter
41974.0 MixnetSnWRouter
30656.0 MixnetSnWRouter
52856.0 MixnetSnWRouter
32409.0 MixnetSnWRouter
28310.0 MixnetSnWRouter
32783.0 MixnetSnWRouter
46075.0 MixnetSnWRouter
53704.0 MixnetSnWRouter
39020.0 MixnetSnWRouter
36970.0 MixnetSnWRouter
37038.0 MixnetSnWRouter
43917.0 MixnetSnWRouter
43001.0 MixnetSnWRouter
38781.0 MixnetSnWRouter
55613.0 MixnetSnWRouter
46762.0 MixnetSnWRouter
56064.0 MixnetSnWRouter
53272.0 MixnetSnWRouter
56419.0 MixnetSnWRouter
54525.0 MixnetSnWRouter
45542.0 MixnetSnWRouter
42484.0 MixnetSnWRouter
46235.0 MixnetSnWRouter
57238.0 MixnetSnWRouter
48491.0 MixnetSnWRouter
59344.0 MixnetSnWRouter
54375.0 MixnetSnWRouter
39840.0 MixnetSnWRouter
35716.0 MixnetSnWRouter
40627.0 MixnetSnWRouter
50363.0 MixnetSnWRouter
59767.0 MixnetSnWRouter
47228.0 MixnetSnWRouter
37787.0 MixnetSnWRouter
43171.0 MixnetSnWRouter
42150.0 MixnetSnWRouter
60763.0 MixnetSnWRouter
39568.0 MixnetSnWRouter
58239.0 MixnetSnWRouter
56506.0 MixnetSnWRouter
57720.0 MixnetSnWRouter
53604.0 MixnetSnWRouter
61307.0 MixnetSnWRouter
43621.0 MixnetSnWRouter
61257.0 MixnetSnWRouter
57806.0 MixnetSnWRouter
47104.0 MixnetSnWRouter
58415.0 MixnetSnWRouter
36166.0 MixnetSnWRouter
51216.0 MixnetSnWRouter
40535.0 MixnetSnWRouter
41729.0 MixnetSnWRouter
50791.0 MixnetSnWRouter
46808.0 MixnetSnWRouter
56781.0 MixnetSnWRouter
48887.0 MixnetSnWRouter
58156.0 MixnetSnWRouter
52071.0 MixnetSnWRouter
62607.0 MixnetSnWRouter
59494.0 MixnetSnWRouter
51007.0 MixnetSnWRouter
54319.0 MixnetSnWRouter
61220.0 MixnetSnWRouter
64129.0 MixnetSnWRouter
43942.0 MixnetSnWRouter
61997.0 MixnetSnWRouter
41425.0 MixnetSnWRouter
53742.0 MixnetSnWRouter
54874.0 MixnetSnWRouter
62915.0 MixnetSnWRouter
66528.0 MixnetSnWRouter
52536.0 MixnetSnWRouter
48075.0 MixnetSnWRouter
53275.0 MixnetSnWRouter
43721.0 MixnetSnWRouter
61425.0 MixnetSnWRouter
56525.0 MixnetSnWRouter
43218.0 MixnetSnWRouter
55407.0 MixnetSnWRouter
57526.0 MixnetSnWRouter
58026.0 MixnetSnWRouter
42583.0 MixnetSnWRouter
61137.0 MixnetSnWRouter
56377.0 MixnetSnWRouter
54437.0 MixnetSnWRouter
44611.0 MixnetSnWRouter
51725.0 MixnetSnWRouter
63939.0 MixnetSnWRouter
64662.0 MixnetSnWRouter
51732.0 MixnetSnWRouter
67658.0 MixnetSnWRouter
62856.0 MixnetSnWRouter
55490.0 MixnetSnWRouter
61966.0 MixnetSnWRouter
52688.0 MixnetSnWRouter
56954.0 MixnetSnWRouter
76864.0 MixnetSnWRouter
76671.0 MixnetSnWRouter
58778.0 MixnetSnWRouter
79394.0 MixnetSnWRouter
57968.0 MixnetSnWRouter
81573.0 MixnetSnWRouter
78339.0 MixnetSnWRouter
79085.0 MixnetSnWRouter
72372.0 MixnetSnWRouter
66347.0 MixnetSnWRouter
88325.0 MixnetSnWRouter
79382.0 MixnetSnWRouter
69201.0 MixnetSnWRouter
75934.0 MixnetSnWRouter
91859.0 MixnetSnWRouter
105536.0 MixnetSnWRouter
125629.0 MixnetSnWRouter
134817.0 MixnetSnWRouter
114151.0 MixnetSnWRouter
126183.0 MixnetSnWRouter
130958.0 MixnetSnWRouter
129339.0 MixnetSnWRouter
