Message stats for scenario MixnetEpidemicRouter
sim_time: 86000.0000
2799.0 MixnetEpidemicRouter
422.0 MixnetEpidemicRouter
1133.0 MixnetEpidemicRouter
2633.0 MixnetEpidemicRouter
1057.0 MixnetEpidemicRouter
13.0 MixnetEpidemicRouter
1050.0 MixnetEpidemicRouter
49936.0 MixnetEpidemicRouter
50434.0 MixnetEpidemicRouter
47348.0 MixnetEpidemicRouter
43443.0 MixnetEpidemicRouter
51374.0 MixnetEpidemicRouter
47118.0 MixnetEpidemicRouter
52234.0 MixnetEpidemicRouter
44440.0 MixnetEpidemicRouter
41956.0 MixnetEpidemicRouter
42635.0 MixnetEpidemicRouter
37654.0 MixnetEpidemicRouter
36700.0 MixnetEpidemicRouter
36307.0 MixnetEpidemicRouter
47437.0 MixnetEpidemicRouter
53601.0 MixnetEpidemicRouter
53057.0 MixnetEpidemicRouter
42976.0 MixnetEpidemicRouter
46892.0 MixnetEpidemicRouter
50700.0 MixnetEpidemicRouter
40200.0 MixnetEpidemicRouter
49165.0 MixnetEpidemicRouter
47246.0 MixnetEpidemicRouter
47363.0 MixnetEpidemicRouter
46496.0 MixnetEpidemicRouter
40552.0 MixnetEpidemicRouter
41467.0 MixnetEpidemicRouter
42470.0 MixnetEpidemicRouter
51697.0 MixnetEpidemicRouter
43856.0 MixnetEpidemicRouter
43171.0 MixnetEpidemicRouter
48192.0 MixnetEpidemicRouter
42976.0 MixnetEpidemicRouter
46184.0 MixnetEpidemicRouter
38853.0 MixnetEpidemicRouter
45617.0 MixnetEpidemicRouter
46387.0 MixnetEpidemicRouter
39295.0 MixnetEpidemicRouter
47789.0 MixnetEpidemicRouter
53136.0 MixnetEpidemicRouter
54901.0 MixnetEpidemicRouter
48108.0 MixnetEpidemicRouter
48711.0 MixnetEpidemicRouter
48886.0 MixnetEpidemicRouter
49973.0 MixnetEpidemicRouter
54104.0 MixnetEpidemicRouter
52114.0 MixnetEpidemicRouter
48740.0 MixnetEpidemicRouter
52446.0 MixnetEpidemicRouter
52750.0 MixnetEpidemicRouter
49657.0 MixnetEpidemicRouter
57632.0 MixnetEpidemicRouter
55605.0 MixnetEpidemicRouter
56219.0 MixnetEpidemicRouter
55387.0 MixnetEpidemicRouter
52729.0 MixnetEpidemicRouter
52186.0 MixnetEpidemicRouter
49247.0 MixnetEpidemicRouter
55308.0 MixnetEpidemicRouter
45570.0 MixnetEpidemicRouter
44347.0 MixnetEpidemicRouter
56640.0 MixnetEpidemicRouter
47608.0 MixnetEpidemicRouter
59752.0 MixnetEpidemicRouter
60897.0 MixnetEpidemicRouter
53622.0 MixnetEpidemicRouter
48349.0 MixnetEpidemicRouter
60763.0 MixnetEpidemicRouter
55978.0 MixnetEpidemicRouter
60378.0 MixnetEpidemicRouter
51914.0 MixnetEpidemicRouter
56769.0 MixnetEpidemicRouter
47316.0 MixnetEpidemicRouter
56350.0 MixnetEpidemicRouter
53252.0 MixnetEpidemicRouter
49712.0 MixnetEpidemicRouter
50326.0 MixnetEpidemicRouter
49343.0 MixnetEpidemicRouter
50447.0 MixnetEpidemicRouter
47217.0 MixnetEpidemicRouter
46738.0 MixnetEpidemicRouter
52219.0 MixnetEpidemicRouter
62906.0 MixnetEpidemicRouter
60780.0 MixnetEpidemicRouter
54264.0 MixnetEpidemicRouter
57205.0 MixnetEpidemicRouter
52111.0 MixnetEpidemicRouter
52651.0 MixnetEpidemicRouter
55280.0 MixnetEpidemicRouter
52033.0 MixnetEpidemicRouter
64139.0 MixnetEpidemicRouter
58144.0 MixnetEpidemicRouter
51650.0 MixnetEpidemicRouter
54757.0 MixnetEpidemicRouter
54071.0 MixnetEpidemicRouter
56035.0 MixnetEpidemicRouter
68904.0 MixnetEpidemicRouter
79200.0 MixnetEpidemicRouter
82001.0 MixnetEpidemicRouter
